municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Fuenlabrada                                 ;2020/05/02 07:00:00;117;60,4;1476;762;0587  
Garganta de los Montes                      ;2020/05/02 07:00:00;;0;;288,18;0626  
Pinto                                       ;2020/05/02 07:00:00;29;55,21;244;464,53;1132  
Alameda del Valle                           ;2020/05/02 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/05/02 07:00:00;;0;;975,61;0203  
Los Santos de la Humosa                     ;2020/05/02 07:00:00;;38,61;20;772,2;1375  
El Álamo                                    ;2020/05/02 07:00:00;10;105,6;70;739,18;0040  
Pelayos de la Presa                         ;2020/05/02 07:00:00;;38,52;16;616,33;1090  
Galapagar                                   ;2020/05/02 07:00:00;49;145,22;239;708,32;0611  
Griñón                                      ;2020/05/02 07:00:00;;29,07;80;775,27;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/05/02 07:00:00;;0;;949,37;0632  
Aldea del Fresno                            ;2020/05/02 07:00:00;8;281,89;54;1902,75;0088  
Carabaña                                    ;2020/05/02 07:00:00;;49,75;13;646,77;0357  
Talamanca de Jarama                         ;2020/05/02 07:00:00;;77,78;27;700,03;1454  
Chapinería                                  ;2020/05/02 07:00:00;;0;6;257,73;0513  
Ciempozuelos                                ;2020/05/02 07:00:00;17;69,13;197;801,07;0409  
Ajalvir                                     ;2020/05/02 07:00:00;;42,44;14;297,11;0029  
San Lorenzo de El Escorial                  ;2020/05/02 07:00:00;18;97,99;128;696,83;1317  
Gascones                                    ;2020/05/02 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/05/02 07:00:00;8;41,73;84;438,18;1322  
Móstoles                                    ;2020/05/02 07:00:00;154;73,62;1924;919,76;0920  
Leganés                                     ;2020/05/02 07:00:00;148;77,95;2854;1503,2;0745  
Braojos                                     ;2020/05/02 07:00:00;;0;;975,61;0246  
Cubas de la Sagra                           ;2020/05/02 07:00:00;;46,78;24;374,24;0506  
Algete                                      ;2020/05/02 07:00:00;7;33,96;103;499,73;0091  
Mejorada del Campo                          ;2020/05/02 07:00:00;7;30,08;173;743,32;0843  
Loeches                                     ;2020/05/02 07:00:00;;0;48;546,01;0758  
Parla                                       ;2020/05/02 07:00:00;47;36,12;716;550,24;1065  
Fuentidueña de Tajo                         ;2020/05/02 07:00:00;;48,71;17;828,06;0604  
Ambite                                      ;2020/05/02 07:00:00;;0;7;1182,43;0112  
Torremocha de Jarama                        ;2020/05/02 07:00:00;;0;8;785,08;1533  
Anchuelo                                    ;2020/05/02 07:00:00;;0;7;550,75;0127  
Los Molinos                                 ;2020/05/02 07:00:00;8;182,27;50;1139,21;0875  
Soto del Real                               ;2020/05/02 07:00:00;;56,82;63;715,99;1441  
Valverde de Alcalá                          ;2020/05/02 07:00:00;;215,05;8;1720,43;1662  
Fuente el Saz de Jarama                     ;2020/05/02 07:00:00;;29,87;32;477,9;0590  
Horcajo de la Sierra-Aoslos                 ;2020/05/02 07:00:00;;0;;2758,62;0702  
Valdeolmos-Alalpardo                        ;2020/05/02 07:00:00;;24,18;11;265,96;1625  
Campo Real                                  ;2020/05/02 07:00:00;;16,1;24;386,47;0339  
Valdeavero                                  ;2020/05/02 07:00:00;;0;8;514,8;1564  
Villamanrique de Tajo                       ;2020/05/02 07:00:00;;142,25;;568,99;1739  
Cobeña                                      ;2020/05/02 07:00:00;;26,93;65;875,07;0416  
Fresnedillas de la Oliva                    ;2020/05/02 07:00:00;;63,61;9;572,52;0565  
Valdilecha                                  ;2020/05/02 07:00:00;;34,09;17;579,61;1659  
El Berrueco                                 ;2020/05/02 07:00:00;;0;8;1052,63;0210  
Pezuela de las Torres                       ;2020/05/02 07:00:00;;0;;237,53;1111  
Villar del Olmo                             ;2020/05/02 07:00:00;;0;;198,91;1795  
Guadarrama                                  ;2020/05/02 07:00:00;41;255,74;187;1166,42;0685  
San Martín de Valdeiglesias                 ;2020/05/02 07:00:00;8;94,57;82;969,38;1338  
Torrelodones                                ;2020/05/02 07:00:00;94;396,34;246;1037,23;1527  
Boadilla del Monte                          ;2020/05/02 07:00:00;36;65,97;297;544,26;0225  
Torrejón de Velasco                         ;2020/05/02 07:00:00;;45,64;19;433,59;1505  
Villanueva de Perales                       ;2020/05/02 07:00:00;;0;;319,9;1782  
Tielmes                                     ;2020/05/02 07:00:00;;75,47;32;1207,55;1467  
San Sebastián de los Reyes                  ;2020/05/02 07:00:00;34;38,08;465;520,86;1343  
Guadalix de la Sierra                       ;2020/05/02 07:00:00;;16,09;34;547,15;0679  
Humanes de Madrid                           ;2020/05/02 07:00:00;11;55,72;105;531,83;0730  
Chinchón                                    ;2020/05/02 07:00:00;;37,52;25;468,96;0528  
Cadalso de los Vidrios                      ;2020/05/02 07:00:00;;32,91;8;263,24;0318  
Hoyo de Manzanares                          ;2020/05/02 07:00:00;8;94,85;33;391,27;0724  
Torrejón de la Calzada                      ;2020/05/02 07:00:00;;22,54;37;417,04;1492  
Estremera                                   ;2020/05/02 07:00:00;;79,37;9;714,29;0552  
Corpa                                       ;2020/05/02 07:00:00;;0;6;841,51;0480  
Meco                                        ;2020/05/02 07:00:00;;6,99;125;873,82;0838  
Madarcos                                    ;2020/05/02 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/05/02 07:00:00;6;361,88;22;1326,9;1837  
Arganda del Rey                             ;2020/05/02 07:00:00;19;34,3;329;593,98;0148  
Collado Mediano                             ;2020/05/02 07:00:00;6;86,23;31;445,53;0468  
Daganzo de Arriba                           ;2020/05/02 07:00:00;;9,8;39;382,17;0534  
Manzanares El Real                          ;2020/05/02 07:00:00;;45,25;37;418,55;0822  
Buitrago del Lozoya                         ;2020/05/02 07:00:00;;53,08;15;796,18;0278  
Valdelaguna                                 ;2020/05/02 07:00:00;;0;;106,72;1570  
Valdepiélagos                               ;2020/05/02 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/05/02 07:00:00;;0;10;264,69;0360  
Miraflores de la Sierra                     ;2020/05/02 07:00:00;;65,49;35;573,02;0856  
Paracuellos de Jarama                       ;2020/05/02 07:00:00;;11,87;69;273,06;1049  
El Vellón                                   ;2020/05/02 07:00:00;;51,07;13;663,94;1684  
Lozoya                                      ;2020/05/02 07:00:00;;0;;172,12;0761  
Collado Villalba                            ;2020/05/02 07:00:00;82;128,77;463;727,08;0474  
Colmenarejo                                 ;2020/05/02 07:00:00;7;76,67;42;460,02;0442  
Villavieja del Lozoya                       ;2020/05/02 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/05/02 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/05/02 07:00:00;;0;11;412,45;0301  
Sevilla la Nueva                            ;2020/05/02 07:00:00;21;225,37;99;1062,46;1415  
La Acebeda                                  ;2020/05/02 07:00:00;;0;;0;0014  
Redueña                                     ;2020/05/02 07:00:00;;0;;769,23;1219  
Robledillo de la Jara                       ;2020/05/02 07:00:00;;0;;1250;1245  
La Serna del Monte                          ;2020/05/02 07:00:00;;0;;0;1381  
Colmenar de Oreja                           ;2020/05/02 07:00:00;;37,35;25;311,25;0437  
Rozas de Puerto Real                        ;2020/05/02 07:00:00;;0;;566,04;1283  
Valdemanco                                  ;2020/05/02 07:00:00;;0;;109,41;1586  
Brunete                                     ;2020/05/02 07:00:00;11;102,46;74;689,27;0262  
Titulcia                                    ;2020/05/02 07:00:00;;0;7;533,13;1473  
Villa del Prado                             ;2020/05/02 07:00:00;12;184,05;114;1748,47;1718  
Lozoyuela-Navas-Sieteiglesias               ;2020/05/02 07:00:00;;0;;230,95;9015  
Quijorna                                    ;2020/05/02 07:00:00;;116,31;22;639,72;1198  
Valdemoro                                   ;2020/05/02 07:00:00;35;46,06;722;950,21;1610  
Tres Cantos                                 ;2020/05/02 07:00:00;30;62,86;337;706,17;9036  
Torrelaguna                                 ;2020/05/02 07:00:00;;63,03;18;378,15;1512  
Rivas-Vaciamadrid                           ;2020/05/02 07:00:00;27;30,63;532;603,52;1230  
El Atazar                                   ;2020/05/02 07:00:00;;0;;0;0164  
Pedrezuela                                  ;2020/05/02 07:00:00;;67,89;25;424,3;1087  
Santa María de la Alameda                   ;2020/05/02 07:00:00;;398,72;6;478,47;1356  
Horcajuelo de la Sierra                     ;2020/05/02 07:00:00;;0;;0;0719  
Arroyomolinos                               ;2020/05/02 07:00:00;8;25,48;158;503,25;0151  
Moralzarzal                                 ;2020/05/02 07:00:00;;30,71;68;522,03;0908  
Canencia                                    ;2020/05/02 07:00:00;;223,71;;447,43;0344  
Villarejo de Salvanés                       ;2020/05/02 07:00:00;;13,63;34;463,53;1809  
Serranillos del Valle                       ;2020/05/02 07:00:00;;120,05;31;744,3;1408  
Villaviciosa de Odón                        ;2020/05/02 07:00:00;12;43,11;187;671,82;1816  
Camarma de Esteruelas                       ;2020/05/02 07:00:00;;27,26;42;572,52;0323  
Robledo de Chavela                          ;2020/05/02 07:00:00;;23,42;22;515,22;1258  
Patones                                     ;2020/05/02 07:00:00;;369,69;6;1109,06;1071  
Navalagamella                               ;2020/05/02 07:00:00;;0;6;229,89;0954  
Rascafría                                   ;2020/05/02 07:00:00;;0;;300,48;1202  
El Boalo                                    ;2020/05/02 07:00:00;9;119,87;39;519,45;0231  
Majadahonda                                 ;2020/05/02 07:00:00;64;89,1;526;732,33;0800  
Batres                                      ;2020/05/02 07:00:00;;0;8;475,06;0170  
Alcobendas                                  ;2020/05/02 07:00:00;64;54,68;703;600,65;0066  
Alcalá de Henares                           ;2020/05/02 07:00:00;64;32,71;2273;1161,77;0053  
Colmenar Viejo                              ;2020/05/02 07:00:00;30;59,11;355;699,48;0455  
San Fernando de Henares                     ;2020/05/02 07:00:00;15;38,04;403;1022,01;1300  
Villalbilla                                 ;2020/05/02 07:00:00;;7,21;87;626,89;1723  
El Escorial                                 ;2020/05/02 07:00:00;23;142,31;97;600,17;0549  
Colmenar del Arroyo                         ;2020/05/02 07:00:00;;115,94;7;405,8;0421  
Torrejón de Ardoz                           ;2020/05/02 07:00:00;46;35,01;937;713,22;1489  
Piñuécar-Gandullas                          ;2020/05/02 07:00:00;;0;;0;1147  
Brea de Tajo                                ;2020/05/02 07:00:00;;0;;954,2;0259  
El Molar                                    ;2020/05/02 07:00:00;;44,75;36;402,77;0869  
Belmonte de Tajo                            ;2020/05/02 07:00:00;;60,1;;300,48;0199  
Torres de la Alameda                        ;2020/05/02 07:00:00;;25,71;74;951,28;1548  
Somosierra                                  ;2020/05/02 07:00:00;;0;;1162,79;1436  
Alpedrete                                   ;2020/05/02 07:00:00;38;260,72;137;939,97;0105  
Orusco de Tajuña                            ;2020/05/02 07:00:00;;0;17;1366,56;1028  
La Hiruela                                  ;2020/05/02 07:00:00;;0;;1754,39;0698  
Cervera de Buitrago                         ;2020/05/02 07:00:00;;0;;2000;0395  
Getafe                                      ;2020/05/02 07:00:00;98;53,44;1215;662,58;0650  
Ribatejada                                  ;2020/05/02 07:00:00;;127,71;;255,43;1224  
Villaconejos                                ;2020/05/02 07:00:00;;0;8;236,13;1701  
Valdetorres de Jarama                       ;2020/05/02 07:00:00;;0;16;355,79;1646  
Madrid-Retiro                               ;2020/05/01 07:00:00;114;95,54;1358;1138,14;079603
Madrid-Salamanca                            ;2020/05/01 07:00:00;124;84,87;1543;1056,1;079604
Madrid-Centro                               ;2020/05/01 07:00:00;138;102,34;1107;820,92;079601
Madrid-Arganzuela                           ;2020/05/01 07:00:00;146;94,93;1497;973,32;079602
Madrid-Chamartín                            ;2020/05/01 07:00:00;150;102,85;1525;1045,6;079605
Madrid-Tetuán                               ;2020/05/01 07:00:00;165;104,42;2046;1294,75;079606
Madrid-Chamberí                             ;2020/05/01 07:00:00;174;124,84;1447;1038,18;079607
Madrid-Fuencarral-El Pardo                  ;2020/05/01 07:00:00;179;72,78;2788;1133,61;079608
Madrid-Moncloa-Aravaca                      ;2020/05/01 07:00:00;144;120,58;1259;1054,27;079609
Madrid-Latina                               ;2020/05/01 07:00:00;262;109,98;2603;1092,7;079610
Madrid-Carabanchel                          ;2020/05/01 07:00:00;258;101,94;2507;990,52;079611
Madrid-Usera                                ;2020/05/01 07:00:00;126;90,17;1331;952,48;079612
Madrid-Puente de Vallecas                   ;2020/05/01 07:00:00;221;94,1;2895;1232,66;079613
Madrid-San Blas - Canillejas                ;2020/05/01 07:00:00;103;65,13;1377;870,74;079620
Madrid-Barajas                              ;2020/05/01 07:00:00;22;44,95;410;837,67;079621
Madrid-Moratalaz                            ;2020/05/01 07:00:00;101;106,8;1262;1334,46;079614
Madrid-Ciudad Lineal                        ;2020/05/01 07:00:00;201;92,93;2101;971,41;079615
Madrid-Hortaleza                            ;2020/05/01 07:00:00;122;64,83;1662;883,16;079616
Madrid-Villaverde                           ;2020/05/01 07:00:00;136;91,31;1355;909,73;079617
Madrid-Villa de Vallecas                    ;2020/05/01 07:00:00;52;47,12;1158;1049,25;079618
Madrid-Vicálvaro                            ;2020/05/01 07:00:00;45;62,42;749;1038,96;079619
Pozuelo de Alarcón                          ;2020/05/01 07:00:00;143;165,47;734;849,32;1150  
Alcorcón                                    ;2020/05/01 07:00:00;153;89,73;1709;1002,26;0072  
Navalcarnero                                ;2020/05/01 07:00:00;13;44,37;156;532,46;0967  
San Agustín del Guadalix                    ;2020/05/01 07:00:00;;22,42;57;426,04;1296  
Las Rozas de Madrid                         ;2020/05/01 07:00:00;109;113,76;720;751,46;1277  
Moraleja de Enmedio                         ;2020/05/01 07:00:00;;58,41;25;486,76;0894  
Valdaracete                                 ;2020/05/01 07:00:00;;0;;821,02;1551  
Pozuelo del Rey                             ;2020/05/01 07:00:00;;0;;174,37;1163  
Puebla de la Sierra                         ;2020/05/01 07:00:00;;0;;0;1185  
Perales de Tajuña                           ;2020/05/01 07:00:00;;34,07;8;272,57;1104  
Valdemorillo                                ;2020/05/01 07:00:00;8;63,91;46;367,47;1603  
Navalafuente                                ;2020/05/01 07:00:00;;69,01;6;414,08;0941  
Velilla de San Antonio                      ;2020/05/01 07:00:00;;40,86;67;547,56;1678  
Villanueva de la Cañada                     ;2020/05/01 07:00:00;24;111,91;128;596,88;1760  
Villanueva del Pardillo                     ;2020/05/01 07:00:00;7;40,75;83;483,12;1776  
Nuevo Baztán                                ;2020/05/01 07:00:00;;31,87;28;446,14;1006  
Villamantilla                               ;2020/05/01 07:00:00;;0;7;485,77;1757  
Villamanta                                  ;2020/05/01 07:00:00;;78,28;12;469,67;1744  
Cabanillas de la Sierra                     ;2020/05/01 07:00:00;;0;10;1322,75;0297  
Cenicientos                                 ;2020/05/01 07:00:00;;245,94;24;1180,52;0376  
Puentes Viejas                              ;2020/05/01 07:00:00;;0;;294,55;9020  
Aranjuez                                    ;2020/05/01 07:00:00;32;53,68;436;731,46;0133  
Cercedilla                                  ;2020/05/01 07:00:00;10;142,33;99;1409,05;0382  
Santorcaz                                   ;2020/05/01 07:00:00;;0;7;790,07;1369  
Coslada                                     ;2020/05/01 07:00:00;47;57,56;777;951,49;0493  
Morata de Tajuña                            ;2020/05/01 07:00:00;7;91,11;95;1236,5;0915  
Robregordo                                  ;2020/05/01 07:00:00;;0;;0;1261  
Navarredonda y San Mamés                    ;2020/05/01 07:00:00;;0;;1550,39;0973  
Venturada                                   ;2020/05/01 07:00:00;;0;;138,7;1697  
Navacerrada                                 ;2020/05/01 07:00:00;;134,59;17;572,01;0936  
Montejo de la Sierra                        ;2020/05/01 07:00:00;;0;;283,29;0881  
Fresno de Torote                            ;2020/05/01 07:00:00;;0;14;630,35;0571  
Pinilla del Valle                           ;2020/05/01 07:00:00;;0;;0;1126  
Valdemaqueda                                ;2020/05/01 07:00:00;;128,04;;640,2;1599  
Navas del Rey                               ;2020/05/01 07:00:00;;171,35;51;1747,77;0992  
Olmeda de las Fuentes                       ;2020/05/01 07:00:00;;0;;862,07;1013  
Bustarviejo                                 ;2020/05/01 07:00:00;;0;7;279,66;0284  
Becerril de la Sierra                       ;2020/05/01 07:00:00;;87,5;30;525,03;0186  
Fuenlabrada                                 ;2020/05/01 07:00:00;120;61,95;1470;758,91;0587  
Garganta de los Montes                      ;2020/05/01 07:00:00;;0;;288,18;0626  
Pinto                                       ;2020/05/01 07:00:00;33;62,83;243;462,63;1132  
Alameda del Valle                           ;2020/05/01 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/05/01 07:00:00;;0;;975,61;0203  
Los Santos de la Humosa                     ;2020/05/01 07:00:00;;38,61;20;772,2;1375  
El Álamo                                    ;2020/05/01 07:00:00;9;95,04;69;728,62;0040  
Pelayos de la Presa                         ;2020/05/01 07:00:00;;38,52;16;616,33;1090  
Galapagar                                   ;2020/05/01 07:00:00;55;163;238;705,35;0611  
Griñón                                      ;2020/05/01 07:00:00;;38,76;80;775,27;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/05/01 07:00:00;;0;;949,37;0632  
Aldea del Fresno                            ;2020/05/01 07:00:00;11;387,6;54;1902,75;0088  
Carabaña                                    ;2020/05/01 07:00:00;;49,75;13;646,77;0357  
Talamanca de Jarama                         ;2020/05/01 07:00:00;;51,85;26;674,1;1454  
Chapinería                                  ;2020/05/01 07:00:00;;0;6;257,73;0513  
Ciempozuelos                                ;2020/05/01 07:00:00;27;109,79;198;805,14;0409  
Ajalvir                                     ;2020/05/01 07:00:00;;42,44;14;297,11;0029  
San Lorenzo de El Escorial                  ;2020/05/01 07:00:00;21;114,32;128;696,83;1317  
Gascones                                    ;2020/05/01 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/05/01 07:00:00;13;67,81;84;438,18;1322  
Móstoles                                    ;2020/05/01 07:00:00;168;80,31;1923;919,29;0920  
Leganés                                     ;2020/05/01 07:00:00;170;89,54;2851;1501,62;0745  
Braojos                                     ;2020/05/01 07:00:00;;0;;975,61;0246  
Cubas de la Sagra                           ;2020/05/01 07:00:00;;46,78;24;374,24;0506  
Algete                                      ;2020/05/01 07:00:00;8;38,81;103;499,73;0091  
Mejorada del Campo                          ;2020/05/01 07:00:00;8;34,37;173;743,32;0843  
Loeches                                     ;2020/05/01 07:00:00;;0;48;546,01;0758  
Parla                                       ;2020/05/01 07:00:00;52;39,96;716;550,24;1065  
Fuentidueña de Tajo                         ;2020/05/01 07:00:00;;48,71;17;828,06;0604  
Ambite                                      ;2020/05/01 07:00:00;;0;7;1182,43;0112  
Torremocha de Jarama                        ;2020/05/01 07:00:00;;0;8;785,08;1533  
Anchuelo                                    ;2020/05/01 07:00:00;;0;7;550,75;0127  
Los Molinos                                 ;2020/05/01 07:00:00;8;182,27;50;1139,21;0875  
Soto del Real                               ;2020/05/01 07:00:00;6;68,19;63;715,99;1441  
Valverde de Alcalá                          ;2020/05/01 07:00:00;;215,05;8;1720,43;1662  
Fuente el Saz de Jarama                     ;2020/05/01 07:00:00;;44,8;32;477,9;0590  
Horcajo de la Sierra-Aoslos                 ;2020/05/01 07:00:00;;0;;2758,62;0702  
Valdeolmos-Alalpardo                        ;2020/05/01 07:00:00;;24,18;11;265,96;1625  
Campo Real                                  ;2020/05/01 07:00:00;;16,1;24;386,47;0339  
Valdeavero                                  ;2020/05/01 07:00:00;;0;8;514,8;1564  
Villamanrique de Tajo                       ;2020/05/01 07:00:00;;142,25;;568,99;1739  
Cobeña                                      ;2020/05/01 07:00:00;;26,93;65;875,07;0416  
Fresnedillas de la Oliva                    ;2020/05/01 07:00:00;;127,23;9;572,52;0565  
Valdilecha                                  ;2020/05/01 07:00:00;;34,09;17;579,61;1659  
El Berrueco                                 ;2020/05/01 07:00:00;;0;8;1052,63;0210  
Pezuela de las Torres                       ;2020/05/01 07:00:00;;0;;237,53;1111  
Villar del Olmo                             ;2020/05/01 07:00:00;;0;;198,91;1795  
Guadarrama                                  ;2020/05/01 07:00:00;46;286,93;186;1160,18;0685  
San Martín de Valdeiglesias                 ;2020/05/01 07:00:00;13;153,68;82;969,38;1338  
Torrelodones                                ;2020/05/01 07:00:00;100;421,64;245;1033,01;1527  
Boadilla del Monte                          ;2020/05/01 07:00:00;44;80,63;297;544,26;0225  
Torrejón de Velasco                         ;2020/05/01 07:00:00;;45,64;19;433,59;1505  
Villanueva de Perales                       ;2020/05/01 07:00:00;;0;;319,9;1782  
Tielmes                                     ;2020/05/01 07:00:00;;113,21;32;1207,55;1467  
San Sebastián de los Reyes                  ;2020/05/01 07:00:00;46;51,53;465;520,86;1343  
Guadalix de la Sierra                       ;2020/05/01 07:00:00;;16,09;34;547,15;0679  
Humanes de Madrid                           ;2020/05/01 07:00:00;12;60,78;105;531,83;0730  
Chinchón                                    ;2020/05/01 07:00:00;;37,52;25;468,96;0528  
Cadalso de los Vidrios                      ;2020/05/01 07:00:00;;32,91;8;263,24;0318  
Hoyo de Manzanares                          ;2020/05/01 07:00:00;8;94,85;33;391,27;0724  
Torrejón de la Calzada                      ;2020/05/01 07:00:00;;22,54;37;417,04;1492  
Estremera                                   ;2020/05/01 07:00:00;;79,37;9;714,29;0552  
Corpa                                       ;2020/05/01 07:00:00;;0;6;841,51;0480  
Meco                                        ;2020/05/01 07:00:00;;6,99;125;873,82;0838  
Madarcos                                    ;2020/05/01 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/05/01 07:00:00;8;482,51;22;1326,9;1837  
Arganda del Rey                             ;2020/05/01 07:00:00;23;41,52;328;592,18;0148  
Collado Mediano                             ;2020/05/01 07:00:00;6;86,23;31;445,53;0468  
Daganzo de Arriba                           ;2020/05/01 07:00:00;;9,8;39;382,17;0534  
Manzanares El Real                          ;2020/05/01 07:00:00;;45,25;37;418,55;0822  
Buitrago del Lozoya                         ;2020/05/01 07:00:00;;53,08;15;796,18;0278  
Valdelaguna                                 ;2020/05/01 07:00:00;;0;;106,72;1570  
Valdepiélagos                               ;2020/05/01 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/05/01 07:00:00;;0;10;264,69;0360  
Miraflores de la Sierra                     ;2020/05/01 07:00:00;;65,49;35;573,02;0856  
Paracuellos de Jarama                       ;2020/05/01 07:00:00;;11,87;69;273,06;1049  
El Vellón                                   ;2020/05/01 07:00:00;;51,07;13;663,94;1684  
Lozoya                                      ;2020/05/01 07:00:00;;0;;172,12;0761  
Collado Villalba                            ;2020/05/01 07:00:00;93;146,05;461;723,94;0474  
Colmenarejo                                 ;2020/05/01 07:00:00;6;65,72;41;449,07;0442  
Villavieja del Lozoya                       ;2020/05/01 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/05/01 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/05/01 07:00:00;;0;11;412,45;0301  
Sevilla la Nueva                            ;2020/05/01 07:00:00;18;193,17;95;1019,53;1415  
La Acebeda                                  ;2020/05/01 07:00:00;;0;;0;0014  
Redueña                                     ;2020/05/01 07:00:00;;0;;769,23;1219  
Robledillo de la Jara                       ;2020/05/01 07:00:00;;0;;1250;1245  
La Serna del Monte                          ;2020/05/01 07:00:00;;0;;0;1381  
Colmenar de Oreja                           ;2020/05/01 07:00:00;;37,35;25;311,25;0437  
Rozas de Puerto Real                        ;2020/05/01 07:00:00;;188,68;;566,04;1283  
Valdemanco                                  ;2020/05/01 07:00:00;;0;;109,41;1586  
Brunete                                     ;2020/05/01 07:00:00;12;111,77;74;689,27;0262  
Titulcia                                    ;2020/05/01 07:00:00;;0;7;533,13;1473  
Villa del Prado                             ;2020/05/01 07:00:00;14;214,72;113;1733,13;1718  
Lozoyuela-Navas-Sieteiglesias               ;2020/05/01 07:00:00;;0;;230,95;9015  
Quijorna                                    ;2020/05/01 07:00:00;;145,39;22;639,72;1198  
Valdemoro                                   ;2020/05/01 07:00:00;40;52,64;722;950,21;1610  
Tres Cantos                                 ;2020/05/01 07:00:00;32;67,06;337;706,17;9036  
Torrelaguna                                 ;2020/05/01 07:00:00;;63,03;18;378,15;1512  
Rivas-Vaciamadrid                           ;2020/05/01 07:00:00;31;35,17;531;602,38;1230  
El Atazar                                   ;2020/05/01 07:00:00;;0;;0;0164  
Pedrezuela                                  ;2020/05/01 07:00:00;;50,92;24;407,33;1087  
Santa María de la Alameda                   ;2020/05/01 07:00:00;;398,72;6;478,47;1356  
Horcajuelo de la Sierra                     ;2020/05/01 07:00:00;;0;;0;0719  
Arroyomolinos                               ;2020/05/01 07:00:00;8;25,48;157;500,06;0151  
Moralzarzal                                 ;2020/05/01 07:00:00;;38,38;68;522,03;0908  
Canencia                                    ;2020/05/01 07:00:00;;223,71;;447,43;0344  
Villarejo de Salvanés                       ;2020/05/01 07:00:00;;13,63;34;463,53;1809  
Serranillos del Valle                       ;2020/05/01 07:00:00;;120,05;31;744,3;1408  
Villaviciosa de Odón                        ;2020/05/01 07:00:00;17;61,07;187;671,82;1816  
Camarma de Esteruelas                       ;2020/05/01 07:00:00;;27,26;42;572,52;0323  
Robledo de Chavela                          ;2020/05/01 07:00:00;;70,26;22;515,22;1258  
Patones                                     ;2020/05/01 07:00:00;;369,69;6;1109,06;1071  
Navalagamella                               ;2020/05/01 07:00:00;;0;6;229,89;0954  
Rascafría                                   ;2020/05/01 07:00:00;;0;;300,48;1202  
El Boalo                                    ;2020/05/01 07:00:00;10;133,19;39;519,45;0231  
Majadahonda                                 ;2020/05/01 07:00:00;75;104,42;526;732,33;0800  
Batres                                      ;2020/05/01 07:00:00;;0;8;475,06;0170  
Alcobendas                                  ;2020/05/01 07:00:00;76;64,94;703;600,65;0066  
Alcalá de Henares                           ;2020/05/01 07:00:00;80;40,89;2269;1159,73;0053  
Colmenar Viejo                              ;2020/05/01 07:00:00;33;65,02;355;699,48;0455  
San Fernando de Henares                     ;2020/05/01 07:00:00;24;60,86;403;1022,01;1300  
Villalbilla                                 ;2020/05/01 07:00:00;;7,21;87;626,89;1723  
El Escorial                                 ;2020/05/01 07:00:00;23;142,31;95;587,8;0549  
Colmenar del Arroyo                         ;2020/05/01 07:00:00;;173,91;7;405,8;0421  
Torrejón de Ardoz                           ;2020/05/01 07:00:00;49;37,3;935;711,7;1489  
Piñuécar-Gandullas                          ;2020/05/01 07:00:00;;0;;0;1147  
Brea de Tajo                                ;2020/05/01 07:00:00;;0;;954,2;0259  
El Molar                                    ;2020/05/01 07:00:00;;55,94;36;402,77;0869  
Belmonte de Tajo                            ;2020/05/01 07:00:00;;60,1;;300,48;0199  
Torres de la Alameda                        ;2020/05/01 07:00:00;;64,28;74;951,28;1548  
Somosierra                                  ;2020/05/01 07:00:00;;0;;1162,79;1436  
Alpedrete                                   ;2020/05/01 07:00:00;40;274,44;137;939,97;0105  
Orusco de Tajuña                            ;2020/05/01 07:00:00;;0;17;1366,56;1028  
La Hiruela                                  ;2020/05/01 07:00:00;;0;;1754,39;0698  
Cervera de Buitrago                         ;2020/05/01 07:00:00;;0;;2000;0395  
Getafe                                      ;2020/05/01 07:00:00;115;62,71;1215;662,58;0650  
Ribatejada                                  ;2020/05/01 07:00:00;;127,71;;255,43;1224  
Villaconejos                                ;2020/05/01 07:00:00;;0;8;236,13;1701  
Valdetorres de Jarama                       ;2020/05/01 07:00:00;;0;16;355,79;1646  
Madrid-Retiro                               ;2020/04/30 07:00:00;117;98,06;1346;1128,09;079603
Madrid-Salamanca                            ;2020/04/30 07:00:00;149;101,98;1532;1048,57;079604
Madrid-Centro                               ;2020/04/30 07:00:00;155;114,94;1100;815,73;079601
Madrid-Arganzuela                           ;2020/04/30 07:00:00;158;102,73;1491;969,42;079602
Madrid-Chamartín                            ;2020/04/30 07:00:00;159;109,02;1511;1036;079605
Madrid-Tetuán                               ;2020/04/30 07:00:00;180;113,91;2038;1289,69;079606
Madrid-Chamberí                             ;2020/04/30 07:00:00;193;138,47;1445;1036,74;079607
